all,1
alf,1
issued,1
resistance,1
existing,1
controversial,1
secure”,1
go,1
chair,1
religious,1
whose,1
akademi,1
passage,2
to,32
aaron,1
voted,1
marks,1
lawmakers,1
oversight,3
activities,2
rollback,3
very,1
provider,2
choice,1
every,2
cable,1
level,1
companies,7
try,1
“the,1
trend,1
sign,2
likely,1
implemented,1
even,1
what,2
consumers,3
deeply,2
while,1
abo,1
access,1
consistently,1
“appropriately,1
new,1
net,1
user’s,1
transportation,1
slated,1
along,1
appears,2
change,2
search,1
ajit,1
host,1
 “last,1
browsing,2
action,2
california,1
spicer,1
makes,1
options,1
family,2
extra,1
merely,1
private,4
put,3
you’re,1
apply,1
from,2
takes,1
would,3
providers,9
visit,2
few,2
live,1
recommend,1
taken,1
more,2
high-speed,1
commissioner,1
supporters,3
afford,1
under,2
“advisers,1
site,2
phone,1
testifies,1
appointee,1
blocking,1
customer,1
rights,1
this,4
science,1
created,1
can,4
my,1
“strongly,1
prohibiting,1
trump,1
pushes,1
give,1
“your,1
states,1
pushed,1
something,1
want,2
information,4
end,1
knows,2
how,1
winners,1
reject,1
charging,1
minority,2
critics,1
after,1
designed,1
president,3
law,1
data,5
a,23
surfing,1
“passing,1
commodity,1
so,2
nancy,2
telecom,1
protections”,1
over,2
despite,1
midnight,1
more” house,1
trade,1
through,2
committee,1
before,2
group,4
lifeline,1
backers,1
expectations,1
2015,1
2014,1
petition,1
party-line,1
them,2
ceo,1
effect”,1
they,1
not,6
republican,1
association,1
enacted,1
university,1
habits,1
victory,1
trump’s,2
mean,1
financial,1
house,6
begun,1
year,2
advertisers,1
lambasted,1
out,1
“not”,1
research,1
looking,1
may,1
ftc,1
protections,5
internet,11
overturns,1
obama’s,1
personal,2
favored,1
withering,1
free,2
completely,1
lucrative,1
people's,1
regulatory,2
launch,1
could,2
signature,1
secretary,1
wide-reaching,1
first,2
major,1
already,2
legislation,1
hearing,1
americans,1
another,1
vote,2
millions,1
management,1
service,3
privacy,14
their,5
regulation,2
statement,3
tom,1
white,1
gives,1
passed,1
that,18
stifle,1
obama,2
television,1
15,1
aims,1
2025,1
were,1
briefing,1
toward,2
“privacy,1
browser,1
and,25
craig,1
say,4
have,5
any,1
sell,1
destabilizing,1
jeopardize,2
-,1
incentive,1
also,3
potential,1
take,1
which,5
online,2
subject,1
arguing,1
most,1
fcc,4
services,1
sean,1
tuesday’s,1
snooping,1
“congressional,1
medical,1
later,1
sale,1
consumer,4
away,2
2025”,1
saying,1
agreed,1
jurisdiction,1
democrats,4
one,1
current,1
giant,1
daily,1
life”,1
histories,1
should,1
utility-like,1
giants,1
consumer-friendly,1
wednesday’s,1
truly,1
amazon,1
reversal,1
competing,2
report,1
during,2
years,1
flake’s,1
misguided,1
losers,1
release,2
rein,1
where,2
view,1
sex,1
see,1
are,3
unfairly,1
sen,1
awaits,1
law”,1
said,6
learnt,1
federal,4
obama-era,3
approach,2
targeted,1
customers’,1
“apparently,1
approval,1
picking,1
hundreds,1
swift,1
protect,1
policy,1
coy,1
many,1
contract,2
sensitive,1
supports”,1
argue,2
fcc’s,2
jeff,1
insist,1
regulated,1
assertions,1
center found,1
telecommunications,1
expensive,1
puts,1
come,1
informed,1
subsidy,1
commission,3
much,1
wants,1
republicans,2
fund,1
without”,1
overturn,2
those,2
commerce,1
save,1
bill,2
lessen,1
choices,2
will,5
near,1
house’s,1
is,4
it,4
disfavored,1
experts,1
in,9
if,1
make,1
administration,2
same,1
pad,1
pai,3
week,1
trump's,1
downloads,1
effect,2
hand,1
expand,2
recent,1
kept,1
r-ariz,1
without,1
regulating,1
organization,1
the,49
just,1
sentence,1
increasingly,1
able,1
kill,1
yet,2
web,2
classification,1
majority,1
point,1
had,2
“as,1
rehn,1
poised,1
has,2
luxury,1
government,1
rules,6
know,2
press,4
disadvantage,1
companies’,1
companies”,2
like,2
communications,4
benefit,1
continue,1
security,2
google,2
“they,2
senate,2
back,1
streaming,1
monetized,1
images,1
for,5
collect,1
broadband,9
pew,1
track,1
innovation,1
leader,2
restoring,2
mode,1
be,9
ecosystem”,1
run,1
intimate,1
deleted,1
step,2
by,6
earlier,1
on,8
about,3
engines,1
netflix,1
of,27
flake,2
shared,1
introduced,1
or,3
into,3
down,2
neutrality,1
right,1
your,6
pelosi,2
apps,1
intention,1
was,3
becoming,1
but,3
with,5
considerable,1
he,1
up,1
limit,2
the fcc,1
problem,1
gone,1
commission’s,1
profits”,1
measure,1
slowing,1
an,1
ap,2
as,3
at,1
net-neutrality,3
no,1
deserve,1
when,2
lobbyists,1
details,1
well-to-do,1
digital,1
you,10
wheeler,1
users,2
congress,1
regulations,5
important,1
repeal,1
empowers,1
needed,1
–,5
—,1
at finland’s,1
websites,1
resolution,7
