all,1
pointing,1
sebelius,1
existing,1
yoked,1
broader,1
battle,1
shot,1
issues,1
seemed,1
william,1
to,37
citing,1
does,1
judge’s,1
under,2
risk,1
far,1
end,1
order”,1
worst,1
fall,1
governments,2
entire,1
did,1
calif,1
enforce,1
verdict,1
small,1
noted,1
hardening,1
force,1
injunction,1
steinle,1
rulings,1
likely,2
follow,1
estimated,1
orrick,4
what,2
stood,1
constitution,3
jeopardy,1
witnesses,1
new,4
public,2
told,1
chose,1
muslim,1
others,1
100,1
republican-appointed,1
makes,1
punishment,1
campaign,2
problems”,1
win,1
clara,2
county,2
oval,1
from,6
would,3
francisco’s,3
two,2
few,1
doubt,1
scope,1
themselves,1
until,1
more,4
sessions,2
cooperate,2
tying,1
appointee,1
this,5
refusing,1
wallet,1
can,1
mr,9
control,1
trump,7
give,1
stinging,1
states,4
coerce,1
sued,1
dennis,1
federation,1
angeles,1
united,1
court,5
jails,1
travel,1
breaking,1
1,1
how,1
if,2
intended,1
may,1
president,8
law,2
response,1
a,23
lifesaving,1
third,1
lines,1
so,2
order,10
houston,1
interpretation,1
office,2
over,2
setback,1
held,1
already,1
including,2
argued,4
its,2
blocked,1
orrick’s,1
police,1
late,1
permanent,1
policy,2
2012,1
then,1
affected,1
greater,1
bans,1
cutting,1
they,3
not,6
now,1
provision,1
administer,1
february,1
elected,1
january,2
reasonably,1
stopped,2
victory,1
trump’s,2
status,1
house,3
crimes,1
related,1
temporary,2
defund,1
out,1
power,1
funding,6
since,3
crucial,1
safety,1
unconstitutional,1
obama’s,1
enforcing,1
california,2
york,1
backed,1
approach,1
care,1
overstepped,1
could,4
impose,1
days,1
times,1
turn,1
place,1
sanctuary-style,1
first,2
there,1
revenue,1
president’s,2
set,1
another,1
such,1
millions,1
city,7
district,2
their,2
least,1
galled,1
statement,2
white,3
national,1
gives,1
enforcement,4
that,18
exactly,1
serve,1
took,1
released,1
than,4
obama,2
17,1
2015,1
require,1
immigrants,3
don’t,1
were,3
10th,1
powers,1
result,2
and,20
san,11
we’ve,1
have,8
seen,1
orders,1
it”,1
there’s,1
jurisdictions,4
able,1
officers,1
predominantly,1
also,2
which,3
many,1
added,1
multiple,3
though,1
arguing,1
who,6
sue,1
most,1
significant,1
lawbreakers,1
why,1
so-called,1
lose,1
ways,1
filing,1
laws,1
saying,1
sanctuary,6
particularly,1
comments”,1
halting,1
“the,1
fear,1
current,1
judges,2
justice,2
true,1
crime,1
only,2
going,1
local,6
do,2
his,6
“if,2
criticized,1
cannot,2
words,1
despite,1
report,1
during,1
him,2
comply,1
unauthorized,1
countries,1
h,1
“because,1
through,2
wrote,5
ignored,1
temporarily,2
violated,1
showdown,1
immigrant,1
schizophrenic,1
responsive,1
officials,1
are,2
instance,1
said,5
threats,1
matter,1
federal,17
partisan,1
state,1
cooperation,1
between,1
sanctuaries,1
conditions,3
across,1
affordable,1
we,3
know”,1
terms,1
nationwide,1
vows,1
herrera,1
signaled,1
news,1
cities,5
suggested,1
restrictions,2
protect,1
last,1
compel,1
country,1
taking,1
according,1
against,2
counties’,1
became,1
prospect,1
jeff,1
tuesday,2
grants,3
agents,2
away,1
trust,1
thwarted,1
erased,1
tremendous,1
we’ll,1
three,1
been,3
much,1
threaten,1
deportations,1
website,1
attacked,1
essentially,1
fund,1
understand,1
deport,1
general,3
present,1
case,6
judicial,1
richmond,1
single,1
while,2
policies,2
applies,1
aid,1
program,1
is,5
it,4
in,25
killing,1
seattle,1
halt,1
different,1
“this,1
make,1
administration,4
several,3
week,1
independent,1
used,1
lawyers,2
medicaid,1
opensecrets,1
vowed,1
keep,1
off,1
center,1
programs,1
without,1
very,1
the,69
less,1
money,2
executive,6
uncooperative,1
localities,1
point,1
had,3
except,1
barack,1
has,6
government,5
rules,1
early,1
five,1
judge,10
ruled,2
ignore,1
either,1
warned,1
become,1
amendment,1
attorney,4
because,1
often,1
commandeer,1
facing,1
constitutionality,1
for,7
fox,1
stops,1
conservative,1
asking,1
be,6
“once,1
run,1
business,1
night,1
santa,2
losing,1
by,12
counties,2
on,11
about,3
harboring,1
of,22
dollars,2
v,1
practical,1
act,1
efforts,1
or,5
country”,2
own,1
letters,1
into,1
commitment,1
billions,2
bundler,1
“breed,1
spending,1
housing,1
placing,1
question,2
los,1
authorized,1
lot,1
was,10
starve,1
municipalities,1
funds,4
immigration,13
but,3
repeatedly,1
courts,2
line,1
trying,1
with,10
he,3
rejection,1
whether,1
record,1
limit,2
ruling,2
highlight,1
plaintiffs,1
strongly,1
supreme,2
sometimes,1
liberal,1
certain,1
allayed,1
an,4
kathryn,1
as,7
at,3
politics,1
moves,1
again,1
no,2
amounts,2
stake,1
when,1
detain,1
preventing,1
other,1
department,2
you,1
forcing,1
francisco,8
intend,1
congress,3
helping,1
overreach,1
massachusetts,1
authorities,2
billion,2
—,4
fears,1
withhold,2
order’s,2
time,1
2008,1
